breed_group,weight_upper,description,name,id,image_url,life_span_upper,height_upper,bred_for,temperament,life_span_lower,weight_lower,height_lower
,17.0,,Poodle (Miniature),196,https://cdn2.thedogapi.com/images/Hkxk4ecVX.jpg,15,15.0,,,12,15.0,11.0
,9.0,,Poodle (Toy),197,https://cdn2.thedogapi.com/images/rJFJVxc4m.jpg,18,11.0,,,18,6.0,9.0
Toy,18.0,,Pug,201,https://cdn2.thedogapi.com/images/HyJvcl9N7.jpg,14,12.0,Lapdog,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",12,14.0,10.0
Herding,35.0,,Puli,204,https://cdn2.thedogapi.com/images/ryPgVl5N7.jpg,16,17.0,Herding,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful",12,25.0,16.0
Herding,33.0,,Pumi,205,https://cdn2.thedogapi.com/images/SyRe4xcN7.jpg,15,18.5,,"Lively, Reserved, Intelligent, Active, Protective, Vocal",13,18.0,15.0
Terrier,25.0,,Rat Terrier,207,https://cdn2.thedogapi.com/images/HkXWNl9E7.jpg,18,13.0,,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving",12,8.0,10.0
Hound,80.0,,Redbone Coonhound,208,https://cdn2.thedogapi.com/images/HJMzEl5N7.jpg,12,27.0,"Hunting raccoon, deer, bear, and cougar.","Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",10,45.0,21.0
Hound,80.0,,Rhodesian Ridgeback,209,https://cdn2.thedogapi.com/images/By9zNgqE7.jpg,12,27.0,"Big game hunting, guarding","Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",10,75.0,24.0
Working,110.0,,Rottweiler,210,https://cdn2.thedogapi.com/images/r1xXEgcNX.jpg,10,27.0,"Cattle drover, guardian, draft","Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",8,75.0,22.0
Toy,6.0,,Russian Toy,211,https://cdn2.thedogapi.com/images/HkP7Vxc4Q.jpg,12,10.5,,,10,3.0,7.5
Working,180.0,,Saint Bernard,212,https://cdn2.thedogapi.com/images/_Qf9nfRzL.png,10,27.5,"Draft, search, rescue","Friendly, Lively, Gentle, Watchful, Calm",7,130.0,25.5
Hound,65.0,,Saluki,213,https://cdn2.thedogapi.com/images/fjFIuehNo.jpg,14,28.0,Coursing gazelle and hare,"Aloof, Reserved, Intelligent, Quiet",12,35.0,23.0
Working,60.0,,Samoyed,214,https://cdn2.thedogapi.com/images/S1T8Ee9Nm.jpg,14,23.5,"Herding reindeer, guardian, draft","Stubborn, Friendly, Sociable, Lively, Alert, Playful",12,50.0,19.0
Non-Sporting,16.0,,Schipperke,216,https://cdn2.thedogapi.com/images/SyBvVgc47.jpg,15,13.0,Barge watchdog,"Fearless, Agile, Curious, Independent, Confident, Faithful",13,10.0,10.0
Hound,130.0,,Scottish Deerhound,218,https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg,10,32.0,Coursing deer,"Docile, Friendly, Dignified, Gentle",8,70.0,28.0
Terrier,22.0,,Scottish Terrier,219,https://cdn2.thedogapi.com/images/Bklnce5NX.jpg,13,,Vermin hunting,"Feisty, Alert, Independent, Playful, Quick, Self-assured",11,18.0,10.0
Herding,30.0,,Shetland Sheepdog,221,https://cdn2.thedogapi.com/images/rJa29l9E7.jpg,14,16.0,Sheep herding,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",12,30.0,13.0
Non-Sporting,23.0,,Shiba Inu,222,https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg,16,16.5,"Hunting in the mountains of Japan, Alert Watchdog","Charming, Fearless, Keen, Alert, Confident, Faithful",12,17.0,13.5
Toy,16.0,,Shih Tzu,223,https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg,18,11.0,Lapdog,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",10,9.0,8.0
,140.0,,Shiloh Shepherd,225,https://cdn2.thedogapi.com/images/SJJxjecEX.jpg,14,30.0,"Swimming, Carrying backpacks, Pulling carts or sleds","Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",9,120.0,26.0
Working,60.0,,Siberian Husky,226,https://cdn2.thedogapi.com/images/S17ZilqNm.jpg,12,23.5,Sled pulling,"Outgoing, Friendly, Alert, Gentle, Intelligent",12,35.0,20.0
Toy,10.0,,Silky Terrier,228,https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg,15,10.0,"Small vermin hunting, companionship","Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",12,8.0,9.0
Terrier,,,Smooth Fox Terrier,232,https://cdn2.thedogapi.com/images/Syszjx9Em.jpg,14,,Fox bolting,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",12,,15.5
Terrier,40.0,,Soft Coated Wheaten Terrier,233,https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg,15,18.0,"Vermin hunting, guarding, all-around farm helper","Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",12,30.0,16.0
Sporting,50.0,,Spanish Water Dog,235,https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg,15,20.0,Herding flocks of sheep and goats from one pasture to another,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",12,30.0,16.0
Sporting,85.0,,Spinone Italiano,236,https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg,12,27.5,,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",10,61.0,22.5
Terrier,38.0,,Staffordshire Bull Terrier,238,https://cdn2.thedogapi.com/images/H1zSie9V7.jpg,14,16.0,,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",12,24.0,14.0
Working,50.0,,Standard Schnauzer,239,https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg,15,19.5,"Ratting, guarding","Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",13,30.0,17.5
Herding,30.0,,Swedish Vallhund,242,https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg,14,13.5,,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",12,20.0,11.5
Hound,55.0,,Thai Ridgeback,243,https://cdn2.thedogapi.com/images/zv89hR-O8.jpg,12,24.0,,"Protective, Loyal, Independent, Intelligent, Loving, Familial",10,35.0,20.0
Working,140.0,,Tibetan Mastiff,244,https://cdn2.thedogapi.com/images/SkM9sec47.jpg,14,26.0,,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",10,85.0,24.0
Non-Sporting,15.0,,Tibetan Spaniel,245,https://cdn2.thedogapi.com/images/Hyjcol947.jpg,15,,,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",12,9.0,10.0
Non-Sporting,24.0,,Tibetan Terrier,246,https://cdn2.thedogapi.com/images/6f5n_42mB.jpg,15,17.0,"Good luck charms, mascots, watchdogs, herding dogs, and companions","Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",12,20.0,14.0
Toy,9.0,,Toy Fox Terrier,248,https://cdn2.thedogapi.com/images/B17ase9V7.jpg,15,11.0,,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",12,4.0,8.0
Hound,80.0,,Treeing Walker Coonhound,250,https://cdn2.thedogapi.com/images/SkRpsgc47.jpg,13,27.0,,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",10,45.0,20.0
Sporting,65.0,,Vizsla,251,https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg,14,24.0,Pointing and trailing,"Affectionate, Energetic, Loyal, Gentle, Quiet",10,50.0,21.0
Sporting,90.0,,Weimaraner,253,https://cdn2.thedogapi.com/images/SyU12l9V7.jpg,15,27.0,Large game trailing and versatile gundog,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",12,55.0,23.0
Sporting,55.0,,Welsh Springer Spaniel,254,https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg,15,19.0,Flushing and retrieving birds,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",12,35.0,17.0
Terrier,22.0,,West Highland White Terrier,256,https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg,20,11.0,"Fox, badger, vermin hunting","Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",15,15.0,10.0
Hound,35.0,,Whippet,257,https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg,15,22.0,"Coursing, racing","Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",12,25.0,18.0
,85.0,,White Shepherd,258,https://cdn2.thedogapi.com/images/r14M3e9E7.jpg,14,25.0,,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",12,60.0,22.0
,19.0,,Wire Fox Terrier,259,https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg,14,16.0,"Vermin hunting, fox bolting","Fearless, Friendly, Bold, Keen, Alert, Quick",13,15.0,13.0
Sporting,70.0,,Wirehaired Pointing Griffon,260,https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg,14,24.0,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds","Loyal, Gentle, Vigilant, Trainable, Proud",12,45.0,20.0
Sporting,65.0,,Wirehaired Vizsla,261,https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg,14,25.0,,,12,45.0,21.5
Non-Sporting,31.0,,Xoloitzcuintli,262,https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg,14,23.0,,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",12,9.0,10.0
Toy,7.0,,Yorkshire Terrier,264,https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg,16,9.0,Small vermin hunting,"Bold, Independent, Confident, Intelligent, Courageous",12,4.0,8.0
