id,breed_group,name,weight_lower,weight_upper,image_url,height_lower,height_upper,bred_for,temperament,life_span_lower,life_span_upper,avg_height,avg_weight,avg_life
201,Toy,Pug,14,18,https://cdn2.thedogapi.com/images/HyJvcl9N7.jpg,10,12,Lapdog,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",12,14,11,16,13
204,Herding,Puli,25,35,https://cdn2.thedogapi.com/images/ryPgVl5N7.jpg,16,17,Herding,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful",12,16,16.5,30,14
205,Herding,Pumi,18,33,https://cdn2.thedogapi.com/images/SyRe4xcN7.jpg,15,18.5,,"Lively, Reserved, Intelligent, Active, Protective, Vocal",13,15,16.75,25.5,14
207,Terrier,Rat Terrier,8,25,https://cdn2.thedogapi.com/images/HkXWNl9E7.jpg,10,13,,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving",12,18,11.5,16.5,15
208,Hound,Redbone Coonhound,45,80,https://cdn2.thedogapi.com/images/HJMzEl5N7.jpg,21,27,"Hunting raccoon, deer, bear, and cougar.","Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",10,12,24,62.5,11
209,Hound,Rhodesian Ridgeback,75,80,https://cdn2.thedogapi.com/images/By9zNgqE7.jpg,24,27,"Big game hunting, guarding","Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",10,12,25.5,77.5,11
210,Working,Rottweiler,75,110,https://cdn2.thedogapi.com/images/r1xXEgcNX.jpg,22,27,"Cattle drover, guardian, draft","Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",8,10,24.5,92.5,9
211,Toy,Russian Toy,3,6,https://cdn2.thedogapi.com/images/HkP7Vxc4Q.jpg,7.5,10.5,,,10,12,9,4.5,11
212,Working,Saint Bernard,130,180,https://cdn2.thedogapi.com/images/_Qf9nfRzL.png,25.5,27.5,"Draft, search, rescue","Friendly, Lively, Gentle, Watchful, Calm",7,10,26.5,155,8.5
213,Hound,Saluki,35,65,https://cdn2.thedogapi.com/images/fjFIuehNo.jpg,23,28,Coursing gazelle and hare,"Aloof, Reserved, Intelligent, Quiet",12,14,25.5,50,13
214,Working,Samoyed,50,60,https://cdn2.thedogapi.com/images/S1T8Ee9Nm.jpg,19,23.5,"Herding reindeer, guardian, draft","Stubborn, Friendly, Sociable, Lively, Alert, Playful",12,14,21.25,55,13
216,Non-Sporting,Schipperke,10,16,https://cdn2.thedogapi.com/images/SyBvVgc47.jpg,10,13,Barge watchdog,"Fearless, Agile, Curious, Independent, Confident, Faithful",13,15,11.5,13,14
218,Hound,Scottish Deerhound,70,130,https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg,28,32,Coursing deer,"Docile, Friendly, Dignified, Gentle",8,10,30,100,9
219,Terrier,Scottish Terrier,18,22,https://cdn2.thedogapi.com/images/Bklnce5NX.jpg,10,,Vermin hunting,"Feisty, Alert, Independent, Playful, Quick, Self-assured",11,13,,20,12
221,Herding,Shetland Sheepdog,30,30,https://cdn2.thedogapi.com/images/rJa29l9E7.jpg,13,16,Sheep herding,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",12,14,14.5,30,13
222,Non-Sporting,Shiba Inu,17,23,https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg,13.5,16.5,"Hunting in the mountains of Japan, Alert Watchdog","Charming, Fearless, Keen, Alert, Confident, Faithful",12,16,15,20,14
223,Toy,Shih Tzu,9,16,https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg,8,11,Lapdog,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",10,18,9.5,12.5,14
225,,Shiloh Shepherd,120,140,https://cdn2.thedogapi.com/images/SJJxjecEX.jpg,26,30,"Swimming, Carrying backpacks, Pulling carts or sleds","Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",9,14,28,130,11.5
226,Working,Siberian Husky,35,60,https://cdn2.thedogapi.com/images/S17ZilqNm.jpg,20,23.5,Sled pulling,"Outgoing, Friendly, Alert, Gentle, Intelligent",12,12,21.75,47.5,12
228,Toy,Silky Terrier,8,10,https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg,9,10,"Small vermin hunting, companionship","Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",12,15,9.5,9,13.5
232,Terrier,Smooth Fox Terrier,,,https://cdn2.thedogapi.com/images/Syszjx9Em.jpg,15.5,,Fox bolting,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",12,14,,,13
233,Terrier,Soft Coated Wheaten Terrier,30,40,https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg,16,18,"Vermin hunting, guarding, all-around farm helper","Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",12,15,17,35,13.5
235,Sporting,Spanish Water Dog,30,50,https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg,16,20,Herding flocks of sheep and goats from one pasture to another,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",12,15,18,40,13.5
236,Sporting,Spinone Italiano,61,85,https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg,22.5,27.5,,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",10,12,25,73,11
238,Terrier,Staffordshire Bull Terrier,24,38,https://cdn2.thedogapi.com/images/H1zSie9V7.jpg,14,16,,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",12,14,15,31,13
239,Working,Standard Schnauzer,30,50,https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg,17.5,19.5,"Ratting, guarding","Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",13,15,18.5,40,14
242,Herding,Swedish Vallhund,20,30,https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg,11.5,13.5,,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",12,14,12.5,25,13
243,Hound,Thai Ridgeback,35,55,https://cdn2.thedogapi.com/images/zv89hR-O8.jpg,20,24,,"Protective, Loyal, Independent, Intelligent, Loving, Familial",10,12,22,45,11
244,Working,Tibetan Mastiff,85,140,https://cdn2.thedogapi.com/images/SkM9sec47.jpg,24,26,,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",10,14,25,112.5,12
245,Non-Sporting,Tibetan Spaniel,9,15,https://cdn2.thedogapi.com/images/Hyjcol947.jpg,10,,,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",12,15,,12,13.5
246,Non-Sporting,Tibetan Terrier,20,24,https://cdn2.thedogapi.com/images/6f5n_42mB.jpg,14,17,"Good luck charms, mascots, watchdogs, herding dogs, and companions","Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",12,15,15.5,22,13.5
248,Toy,Toy Fox Terrier,4,9,https://cdn2.thedogapi.com/images/B17ase9V7.jpg,8,11,,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",12,15,9.5,6.5,13.5
250,Hound,Treeing Walker Coonhound,45,80,https://cdn2.thedogapi.com/images/SkRpsgc47.jpg,20,27,,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",10,13,23.5,62.5,11.5
251,Sporting,Vizsla,50,65,https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg,21,24,Pointing and trailing,"Affectionate, Energetic, Loyal, Gentle, Quiet",10,14,22.5,57.5,12
253,Sporting,Weimaraner,55,90,https://cdn2.thedogapi.com/images/SyU12l9V7.jpg,23,27,Large game trailing and versatile gundog,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",12,15,25,72.5,13.5
254,Sporting,Welsh Springer Spaniel,35,55,https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg,17,19,Flushing and retrieving birds,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",12,15,18,45,13.5
256,Terrier,West Highland White Terrier,15,22,https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg,10,11,"Fox, badger, vermin hunting","Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",15,20,10.5,18.5,17.5
257,Hound,Whippet,25,35,https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg,18,22,"Coursing, racing","Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",12,15,20,30,13.5
258,,White Shepherd,60,85,https://cdn2.thedogapi.com/images/r14M3e9E7.jpg,22,25,,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",12,14,23.5,72.5,13
259,,Wire Fox Terrier,15,19,https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg,13,16,"Vermin hunting, fox bolting","Fearless, Friendly, Bold, Keen, Alert, Quick",13,14,14.5,17,13.5
260,Sporting,Wirehaired Pointing Griffon,45,70,https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg,20,24,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds","Loyal, Gentle, Vigilant, Trainable, Proud",12,14,22,57.5,13
261,Sporting,Wirehaired Vizsla,45,65,https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg,21.5,25,,,12,14,23.25,55,13
262,Non-Sporting,Xoloitzcuintli,9,31,https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg,10,23,,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",12,14,16.5,20,13
264,Toy,Yorkshire Terrier,4,7,https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg,8,9,Small vermin hunting,"Bold, Independent, Confident, Intelligent, Courageous",12,16,8.5,5.5,14
