name,life_span_lower,life_span_upper,id,weight_upper,bred_for,height_upper,image_url,description,weight_lower,breed_group,height_lower,temperament
Plott,12,14,189,60.0,Hunting big-game like Boar.,25.0,https://cdn2.thedogapi.com/images/B1i67l5VQ.jpg,,40.0,Hound,20.0,"Bold, Alert, Loyal, Intelligent"
Pomeranian,15,15,193,7.0,Companion,12.0,https://cdn2.thedogapi.com/images/HJd0XecNX.jpg,,3.0,Toy,8.0,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active"
Poodle (Miniature),12,15,196,17.0,,15.0,https://cdn2.thedogapi.com/images/Hkxk4ecVX.jpg,,15.0,,11.0,
Poodle (Toy),18,18,197,9.0,,11.0,https://cdn2.thedogapi.com/images/rJFJVxc4m.jpg,,6.0,,9.0,
Pug,12,14,201,18.0,Lapdog,12.0,https://cdn2.thedogapi.com/images/HyJvcl9N7.jpg,,14.0,Toy,10.0,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive"
Puli,12,16,204,35.0,Herding,17.0,https://cdn2.thedogapi.com/images/ryPgVl5N7.jpg,,25.0,Herding,16.0,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful"
Pumi,13,15,205,33.0,,18.5,https://cdn2.thedogapi.com/images/SyRe4xcN7.jpg,,18.0,Herding,15.0,"Lively, Reserved, Intelligent, Active, Protective, Vocal"
Rat Terrier,12,18,207,25.0,,13.0,https://cdn2.thedogapi.com/images/HkXWNl9E7.jpg,,8.0,Terrier,10.0,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving"
Redbone Coonhound,10,12,208,80.0,"Hunting raccoon, deer, bear, and cougar.",27.0,https://cdn2.thedogapi.com/images/HJMzEl5N7.jpg,,45.0,Hound,21.0,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable"
Rhodesian Ridgeback,10,12,209,80.0,"Big game hunting, guarding",27.0,https://cdn2.thedogapi.com/images/By9zNgqE7.jpg,,75.0,Hound,24.0,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent"
Rottweiler,8,10,210,110.0,"Cattle drover, guardian, draft",27.0,https://cdn2.thedogapi.com/images/r1xXEgcNX.jpg,,75.0,Working,22.0,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous"
Russian Toy,10,12,211,6.0,,10.5,https://cdn2.thedogapi.com/images/HkP7Vxc4Q.jpg,,3.0,Toy,7.5,
Saint Bernard,7,10,212,180.0,"Draft, search, rescue",27.5,https://cdn2.thedogapi.com/images/_Qf9nfRzL.png,,130.0,Working,25.5,"Friendly, Lively, Gentle, Watchful, Calm"
Saluki,12,14,213,65.0,Coursing gazelle and hare,28.0,https://cdn2.thedogapi.com/images/fjFIuehNo.jpg,,35.0,Hound,23.0,"Aloof, Reserved, Intelligent, Quiet"
Samoyed,12,14,214,60.0,"Herding reindeer, guardian, draft",23.5,https://cdn2.thedogapi.com/images/S1T8Ee9Nm.jpg,,50.0,Working,19.0,"Stubborn, Friendly, Sociable, Lively, Alert, Playful"
Schipperke,13,15,216,16.0,Barge watchdog,13.0,https://cdn2.thedogapi.com/images/SyBvVgc47.jpg,,10.0,Non-Sporting,10.0,"Fearless, Agile, Curious, Independent, Confident, Faithful"
Scottish Deerhound,8,10,218,130.0,Coursing deer,32.0,https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg,,70.0,Hound,28.0,"Docile, Friendly, Dignified, Gentle"
Scottish Terrier,11,13,219,22.0,Vermin hunting,,https://cdn2.thedogapi.com/images/Bklnce5NX.jpg,,18.0,Terrier,10.0,"Feisty, Alert, Independent, Playful, Quick, Self-assured"
Shetland Sheepdog,12,14,221,30.0,Sheep herding,16.0,https://cdn2.thedogapi.com/images/rJa29l9E7.jpg,,30.0,Herding,13.0,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong"
Shiba Inu,12,16,222,23.0,"Hunting in the mountains of Japan, Alert Watchdog",16.5,https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg,,17.0,Non-Sporting,13.5,"Charming, Fearless, Keen, Alert, Confident, Faithful"
Shih Tzu,10,18,223,16.0,Lapdog,11.0,https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg,,9.0,Toy,8.0,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous"
Shiloh Shepherd,9,14,225,140.0,"Swimming, Carrying backpacks, Pulling carts or sleds",30.0,https://cdn2.thedogapi.com/images/SJJxjecEX.jpg,,120.0,,26.0,"Outgoing, Loyal, Companionable, Gentle, Loving, Trainable"
Siberian Husky,12,12,226,60.0,Sled pulling,23.5,https://cdn2.thedogapi.com/images/S17ZilqNm.jpg,,35.0,Working,20.0,"Outgoing, Friendly, Alert, Gentle, Intelligent"
Silky Terrier,12,15,228,10.0,"Small vermin hunting, companionship",10.0,https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg,,8.0,Toy,9.0,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful"
Smooth Fox Terrier,12,14,232,,Fox bolting,,https://cdn2.thedogapi.com/images/Syszjx9Em.jpg,,,Terrier,15.5,"Fearless, Affectionate, Alert, Playful, Intelligent, Active"
Soft Coated Wheaten Terrier,12,15,233,40.0,"Vermin hunting, guarding, all-around farm helper",18.0,https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg,,30.0,Terrier,16.0,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful"
Spanish Water Dog,12,15,235,50.0,Herding flocks of sheep and goats from one pasture to another,20.0,https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg,,30.0,Sporting,16.0,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent"
Spinone Italiano,10,12,236,85.0,,27.5,https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg,,61.0,Sporting,22.5,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle"
Staffordshire Bull Terrier,12,14,238,38.0,,16.0,https://cdn2.thedogapi.com/images/H1zSie9V7.jpg,,24.0,Terrier,14.0,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous"
Standard Schnauzer,13,15,239,50.0,"Ratting, guarding",19.5,https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg,,30.0,Working,17.5,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent"
Swedish Vallhund,12,14,242,30.0,,13.5,https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg,,20.0,Herding,11.5,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful"
Thai Ridgeback,10,12,243,55.0,,24.0,https://cdn2.thedogapi.com/images/zv89hR-O8.jpg,,35.0,Hound,20.0,"Protective, Loyal, Independent, Intelligent, Loving, Familial"
Tibetan Mastiff,10,14,244,140.0,,26.0,https://cdn2.thedogapi.com/images/SkM9sec47.jpg,,85.0,Working,24.0,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective"
Tibetan Spaniel,12,15,245,15.0,,,https://cdn2.thedogapi.com/images/Hyjcol947.jpg,,9.0,Non-Sporting,10.0,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy"
Tibetan Terrier,12,15,246,24.0,"Good luck charms, mascots, watchdogs, herding dogs, and companions",17.0,https://cdn2.thedogapi.com/images/6f5n_42mB.jpg,,20.0,Non-Sporting,14.0,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive"
Toy Fox Terrier,12,15,248,9.0,,11.0,https://cdn2.thedogapi.com/images/B17ase9V7.jpg,,4.0,Toy,8.0,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent"
Treeing Walker Coonhound,10,13,250,80.0,,27.0,https://cdn2.thedogapi.com/images/SkRpsgc47.jpg,,45.0,Hound,20.0,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable"
Vizsla,10,14,251,65.0,Pointing and trailing,24.0,https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg,,50.0,Sporting,21.0,"Affectionate, Energetic, Loyal, Gentle, Quiet"
Weimaraner,12,15,253,90.0,Large game trailing and versatile gundog,27.0,https://cdn2.thedogapi.com/images/SyU12l9V7.jpg,,55.0,Sporting,23.0,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast"
Welsh Springer Spaniel,12,15,254,55.0,Flushing and retrieving birds,19.0,https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg,,35.0,Sporting,17.0,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active"
West Highland White Terrier,15,20,256,22.0,"Fox, badger, vermin hunting",11.0,https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg,,15.0,Terrier,10.0,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous"
Whippet,12,15,257,35.0,"Coursing, racing",22.0,https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg,,25.0,Hound,18.0,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet"
White Shepherd,12,14,258,85.0,,25.0,https://cdn2.thedogapi.com/images/r14M3e9E7.jpg,,60.0,,22.0,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager"
Wire Fox Terrier,13,14,259,19.0,"Vermin hunting, fox bolting",16.0,https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg,,15.0,,13.0,"Fearless, Friendly, Bold, Keen, Alert, Quick"
Wirehaired Pointing Griffon,12,14,260,70.0,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",24.0,https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg,,45.0,Sporting,20.0,"Loyal, Gentle, Vigilant, Trainable, Proud"
Wirehaired Vizsla,12,14,261,65.0,,25.0,https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg,,45.0,Sporting,21.5,
Xoloitzcuintli,12,14,262,31.0,,23.0,https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg,,9.0,Non-Sporting,10.0,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm"
Yorkshire Terrier,12,16,264,7.0,Small vermin hunting,9.0,https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg,,4.0,Toy,8.0,"Bold, Independent, Confident, Intelligent, Courageous"
